"accession","species","type","title","summary","nsamples"
"GSE249877","Mus musculus","Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing","Gene-environment interaction elicits dystonia-like features and impaired translational regulation in a DYT-TOR1A mouse model","This SuperSeries is composed of the SubSeries listed below.",143
"GSE249876","Mus musculus","Non-coding RNA profiling by high throughput sequencing","Gene-environment interaction elicits dystonia-like features and impaired translational regulation in a DYT-TOR1A mouse model (miRNA-Seq)","To elicit a dystonia-like phenotype in a genetically predisposed DYT-TOR1A mouse model (DYT1KI) by performing a right sciatic nerve crush injury. To identify novel pathophysiological pathways and possible biomarker, we performed a multi-omic analysis of three dystonia-relevant brain regions",71
"GSE249875","Mus musculus","Expression profiling by high throughput sequencing","Gene-environment interaction elicits dystonia-like features and impaired translational regulation in a DYT-TOR1A mouse model (RNA-Seq)","To elicit a dystonia-like phenotype in a genetically predisposed DYT-TOR1A mouse model (DYT1KI) by performing a right sciatic nerve crush injury. To identify novel pathophysiological pathways and possible biomarker, we performed a multi-omic analysis of three dystonia-relevant brain regions",72
"GSE208353","Homo sapiens","Expression profiling by high throughput sequencing","An iPSC-derived neuronal model of DNAJC6 parkinsonism reveals neurodevelopmental and synaptic vesicle recycling defects","Biallelic mutations in DNAJC6 cause a complex, early-onset movement disorder characterized by rapidly progressive parkinsonism-dystonia in childhood. The disease is commonly associated with additional neurodevelopmental, neurological and neuropsychiatric features. Currently, there are no disease-specific treatments for this condition, resulting in significant morbidity and risk of premature mortality. To investigate the underlying disease mechanisms in childhood-onset DNAJC6 parkinsonism, we generated induced pluripotent stem cells (iPSC) from three patients harboring pathogenic loss-of-function DNAJC6 mutations and subsequently developed a midbrain dopaminergic (mDA) neuronal model of disease. DNAJC6 encodes auxilin, a co-chaperone protein involved in clathrin-mediated synaptic vesicle (SV) recycling at the presynaptic terminal. When compared to age-matched and CRISPR-corrected isogenic controls, the neuronal cell model revealed disease-specific auxilin deficiency as well as disturbance of synaptic vesicle recycling and homeostasis. We also observed dysregulation of key neurodevelopmental pathways affecting ventral midbrain pattering and neuronal maturation.",15
"GSE245093","Homo sapiens","Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other","Mini-heterochromatin domains constrain the cis-regulatory impact of SVA transposons in human brain development and disease","SVA retrotransposons remain active in humans and contribute to individual genetic variation. Polymorphic SVA alleles harbor gene-regulatory potential and can cause genetic disease. However, how SVA insertions are controlled and functionally impact human disease is unknown. Here, we dissect the epigenetic regulation and influence of SVAs in cellular models of X-linked dystonia-parkinsonism (XDP), a neurodegenerative disorder caused by an SVA insertion at the TAF1 locus. We demonstrate that the KRAB zinc finger protein ZNF91 establishes H3K9me3 and DNA methylation over SVAs, including polymorphic alleles, in human neural progenitor cells. The resulting mini-heterochromatin domains attenuate the cis-regulatory impact of SVAs. This is critical for XDP pathology; removal of local heterochromatin severely aggravates the XDP molecular phenotype, resulting in increased TAF1 intron retention and reduced expression. Our results provide unique mechanistic insights into how human polymorphic transposon insertions are recognized, and their regulatory impact constrained by an innate epigenetic defense system.",143
"GSE185476","Mus musculus","Expression profiling by high throughput sequencing","Postnatal Conditional Knockout of Bcl11b in Striatal Projection Neurons Mimics the Transcriptional Signature of Huntington’s Disease","Dysregulation of the striatum is linked to multiple diseases including Huntington’s (HD), Parkinson’s, X-linked dystonia-parkinsonism (XDP), addiction, autism, and schizophrenia. Striatal medium spiny neurons (MSNs) make up 90% of the neuronal cell type in the striatum and are critical to motor control. The transcription factor Bcl11b (also known as CTIP2) is known to regulate of MSN differentiation, striatal striosome (patch) development and the architecture of the striatum during development. However, the function of Bcl11b adult striatal neurons in vivo has not been investigated. Therefore, we conditionally knocked out Bcl11b specifically in MSNs using D9-cre under the control of a regulatory elements of the mouse Ppp1r1b gene encoding DARPP-32 resulting in knockout around 5-6 weeks of age. Transcriptomic and behavioral analysis were performed on these mice.",8
"GSE201686","Rattus norvegicus","Genome binding/occupancy profiling by high throughput sequencing","Transcription regulation of SNCA by dystonia type 6 gene product THAP1 [Rat_ChIP-seq]","The predominantly function of THAP1 has been defined as a transcription factor, but how it regulates gene expression in human neurons is not well understood. Here, we found that THAP1 is able to regulate the expression of alpha-synuclein (SNCA), a key protein in Parkinson’s disease (PD).",9
"GSE184959","Rattus norvegicus","Expression profiling by high throughput sequencing","THAP1 is cell type dependent regulator of SP1 family crucial for dystonic syndromes in human and rat [Striatum_RNA-seq]","THAP1 is a transcription factor and its mutations are responsible for DYT6 dystonia. However, how THAP1 mutations lead to these gene expression alterations and whether the gene expression changes are also reflected in the brain of THAP1 patients are still unclear. In this study we used epigenetic and transcriptomic approaches combined with multiple model systems to uncover the function of THAP1 and the potential pathogenesis of DYT6 dystonia. THAP1 mutations lead to dysregulation of genes mainly through regulation of SP1 family members, SP1 and SP4, in a cell type dependent manner.",8
"GSE184958","Homo sapiens","Expression profiling by high throughput sequencing","THAP1 is cell type dependent regulator of SP1 family crucial for dystonic syndromes in human and rat [SHSY5Y_RNA-seq]","THAP1 is a transcription factor and its mutations are responsible for DYT6 dystonia. However, how THAP1 mutations lead to these gene expression alterations and whether the gene expression changes are also reflected in the brain of THAP1 patients are still unclear. In this study we used epigenetic and transcriptomic approaches combined with multiple model systems to uncover the function of THAP1 and the potential pathogenesis of DYT6 dystonia. THAP1 mutations lead to dysregulation of genes mainly through regulation of SP1 family members, SP1 and SP4, in a cell type dependent manner.",6
"GSE184957","Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing","THAP1 is cell type dependent regulator of SP1 family crucial for dystonic syndromes in human and rat [SHSY5Y_ChIP-seq]","THAP1 is a transcription factor and its mutations are responsible for DYT6 dystonia. However, how THAP1 mutations lead to these gene expression alterations and whether the gene expression changes are also reflected in the brain of THAP1 patients are still unclear. In this study we used epigenetic and transcriptomic approaches combined with multiple model systems to uncover the function of THAP1 and the potential pathogenesis of DYT6 dystonia. THAP1 mutations lead to dysregulation of genes mainly through regulation of SP1 family members, SP1 and SP4, in a cell type dependent manner.",16
"GSE147633","Homo sapiens","Expression profiling by high throughput sequencing","Transcription regulation of SNCA by dystonia type 6 gene product THAP1 [RNA-Seq]","The predominantly function of THAP1 has been defined as a transcription factor, but how it regulates gene expression in human neurons is not well understood. Here, we found that THAP1 is able to regulate the expression of alpha-synuclein (SNCA), a key protein in Parkinson’s disease (PD).",12
"GSE141278","Rattus norvegicus; Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing; Other; Expression profiling by high throughput sequencing","Transcription regulation of SNCA by dystonia type 6 gene product THAP1","This SuperSeries is composed of the SubSeries listed below.",37
"GSE141277","Homo sapiens","Other","Transcription regulation of SNCA by dystonia type 6 gene product THAP1 [4C-Seq]","The predominantly function of THAP1 has been defined as a transcription factor, but how it regulates gene expression in human neurons is not well understood. Here, we found that THAP1 is able to regulate the expression of alpha-synuclein (SNCA), a key protein in Parkinson’s disease (PD).",6
"GSE141244","Homo sapiens","Genome binding/occupancy profiling by high throughput sequencing","Transcription regulation of SNCA by dystonia type 6 gene product THAP1 [ChIP-seq]","The predominantly function of THAP1 has been defined as a transcription factor, but how it regulates gene expression in human neurons is not well understood. Here, we found that THAP1 is able to regulate the expression of alpha-synuclein (SNCA), a key protein in Parkinson’s disease (PD).",10
"GSE199836","Homo sapiens","Methylation profiling by high throughput sequencing","Comparison of Methylation Episignatures in KMT2B and KMT2D-related human disorders","We compared the DNA methylation patterns in blood from individuals with two rare neurodevelopmental disorders (Childhood-onset dystonia (DYT-KMT2B) and Kabuki syndrome) and healthy control samples",49
"GSE154729","Mus musculus","Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other","The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice","This SuperSeries is composed of the SubSeries listed below.",25
"GSE154728","Mus musculus","Other","The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [CRISPR-Cas9 screen]","The Shieldin complex, consisting of SHLD1, SHLD2, SHLD3 and REV7, shields double strand DNA breaks (DSBs) from nucleolytic resection. The end-protecting activity of Shieldin promotes productive non-homologous end joining (NHEJ) in G1 but can threaten genome integrity during S-phase by blocking homologous recombination (HR). Curiously, the penultimate Shieldin component, SHLD1 is one of the least abundant mammalian proteins. Here, we report that the transcription factors THAP1, YY1 and HCF1 bind directly to the SHLD1 promoter, where they cooperatively maintain the low basal expression of SHLD1. Functionally, this transcriptional network ensures that SHLD1 protein levels are kept in check to enable a proper balance between end protection and end resection during physiological DSB repair. In the context of BRCA1 deficiency, loss of THAP1 dependent SHLD1 expression confers cross resistance to PARP inhibitor and cisplatin, and shorter progression free survival in ovarian cancer patients. In contrast, loss of THAP1 in BRCA2 deficient cells increases genome instability and correlates with improved responses to chemotherapy. Pathogenic THAP1 mutations are causatively linked to adult-onset torsion dystonia type 6 (DYT6) movement disorder, but the critical disease targets are unknown. We further demonstrate that murine models of Thap1-associated dystonia show reduced Shld1 expression concomitant with elevated levels of unresolved DNA damage in the brain. In summary, our study provides the first example of a transcriptional network that directly controls DSB repair choice and reveals a previously unsuspected link between DNA damage and dystonia.",9
"GSE253847","Caenorhabditis elegans","Expression profiling by high throughput sequencing","A whole-animal, genome-scale model of transcriptional rewiring of metabolism","The regulation of metabolism is vital to any organism. One mechanism of this regulation is by transcriptionally activating or repressing genes encoding metabolic enzymes and transporters. This is used to wire tissue-relevant metabolic networks during development, but also to rewire metabolism upon nutritional or genetic perturbations. While many individual examples of transcriptional regulation of metabolism have been reported, a systems-level study of how metabolic gene expression responds to such perturbations is lacking in any animal. Here, we apply worm perturb-seq (WPS), a high-throughput, whole-animal RNAi/RNA-seq method, on ~900 metabolic genes in the nematode Caenorhabditis elegans, to derive a metabolic gene regulatory network (mGRN) in which the knockdown of 365 metabolic genes is connected to 9,414 differentially expressed genes (DEGs) by more than 110,000 interactions. The mGRN has a highly modular structure in which distinct 22 perturbation clusters connect to 44 co-regulated gene expression programs. We uncover widespread yet highly specific responses in genes associated with stress responses and food digestion, along with various modes of transcriptional changes from simple ‘within pathway’ to complex ‘network coordination’. By integrating the mGRN with metabolic network modeling, we elucidate an underlying designing principle of transcriptional rewiring that leads us to propose a ‘compensation/repression model’ in which high-level, core metabolic functions regulate each other, likely to maintain animal homeostasis.",73
"GSE247436","Mus musculus","Expression profiling by high throughput sequencing","Deletion of Gba in neurons, but not microglia, causes neurodegeneration in a Gaucher mouse model","Gaucher disease, the most prevalent lysosomal storage disease, is caused by homozygous mutations at the GBA gene, which is responsible for encoding the enzyme glucocerebrosidase. Neuronopathic Gaucher disease is associated with microgliosis, astrogliosis, and neurodegeneration. However, the role that microglia, astrocytes, and neurons play in the disease remains to be determined. In the current study, we developed inducible, cell-type specific Gba KO mice to understand the individual impacts of Gba deficiencies on microglia and neurons. Gba was conditionally knocked out either exclusively in microglia or neurons, or throughout the body. These mouse models were developed using a tamoxifen-inducible Cre system, with tamoxifen administration commencing at weaning. Microglia-specific Gba KO mice showed no signs of disease. However, the neuron-specific Gba KO resulted in a shortened lifespan, severe weight loss, and ataxia. These mice also had significant neurodegeneration, microgliosis, and astrogliosis accompanied by the accumulation of glucosylceramide and glucosylsphingosine, recapitulating Gaucher disease-like symptoms. These surprising findings reveal that, unlike the neuron-specific Gba deficiency, microglia-specific Gba deficiency alone does not induce disease. The neuronal Gaucher disease mouse model, with a median survival of 16 weeks, may be useful for future studies of pathogenesis and the evaluation of therapies. ",32
"GSE245362","Mus musculus","Expression profiling by high throughput sequencing","Laser capture microdissection of the ganglion cell layer for analyzing transcriptional responses induced by demyelination","Demyelination and loss of oligodendrocytes deprives neurons of crucial metabolic and trophic support and contributes to neurodegeneration. However, the precise mechanisms that trigger neurodegeneration during demyelination remain unclear. Here, we examine transcriptional differences in neurons that have been demyelinated relative to myelinated neurons. Demyelination is induced by the knockout of Myrf, a transcription factor essential for myelin gene expression and oligodendrocyte identity, from oligodendrocyte lineage cells using Myrffl/fl Sox10 CreERT mice. We performed laser capture microdissection of the ganglion cell layer, which contains the majority of the retinal ganglion cells (RGC), a nearly ubiquitously myelinated population of neurons. We find that dissection of the ganglion cell layer greatly enriches for RGC transcripts relative to controls.  Demyelinated Myrffl/fl Sox10 CreERT mice have upregulation of Hrk and Ecel1 in the ganglion cell layer, which are known to be upregulated during axonal injury and driven by dual leucine zipper kinase (DLK) signaling. These data suggest that demyelination may activate a DLK-mediated signaling cascade that culminates in transcriptional changes that are often associated with apoptosis of neurons in the central nervous system.",16
"GSE250051","Mus musculus","Expression profiling by high throughput sequencing","Gene expression profiling of brain tissue from neuronopathic Gaucher disease mouse model of PG9VN, PG9V and wild type mice","To understand the intrinsic link between PGRN and Gba D409V mutation dosage in regulating lysosomal function and disease pathogenesis, we generated nGD model of GbaD409V/D409V and loss of PGRN (Grn-/-), termed  PG9V that displayed typical neuronopathic GD (nGD). With decreasing the dose of Gba D409V, i.e., D409V/Null, in Grn KO mice (Grn-/-;GbaD409V/Null, PG9VN) led to much earlier onset and more severe neurodegenerative nGD than PG9V mice. To explore the correlation between the Gba mutation dosage and both neurodegeneration and inflammation, as well as to attain molecular insights into the underlying brain pathology in PG9VN mice, we performed bulk RNA sequencing analysis on 7.5-month-old PG9VN, PG9V and WT brain tissues containing thalamus, hypothalamus and midbrain, the predominant regions displaying the neuroinflammation and neurodegeneration. Gene Ontology (GO) analysis classified similar molecular pathways were altered in both PG9V and PG9VN mice. The heightened dysregulation of these pathways may be a contributing factor to the more severe disease phenotypes observed in PG9VN mice. This dysregulation appears to be controlled by a threshold effect related to Gba dosage.",9
"GSE263252","Homo sapiens","Expression profiling by high throughput sequencing","A PIKfyve Modulator Combined with an Integrated Stress Response Inhibitor to treat Lysosomal Storage Diseases","Lysosomal degradation pathways coordinate the clearance of superfluous and damaged cellular components. Compromised lysosomal degradation is a hallmark of many degenerative diseases, including lysosomal storage diseases, which are caused by loss-of-function mutations within both alleles of a lysosomal hydrolase, leading to lysosomal substrate accumulation. Gaucher’s disease, characterized by <15% of normal glucocerebrosidase function, is the most common lysosomal storage disease and is a prominent risk factor for developing Parkinson’s disease. Here, we show that either of two structurally distinct small molecules that modulate PIKfyve activity, discovered from a high-throughput cellular lipid droplet clearance screen, can improve glucocerebrosidase function in Gaucher patient–derived fibroblasts through an MiT/TFE transcription factor that promotes lysosomal gene translation. An ISR antagonist used in combination with a PIKfyve modulator further improves cellular glucocerebrosidase activity, likely because integrated stress response (ISR) signaling appears to also be slightly activated by treatment by either small molecule at the higher doses employed, This strategy of combining a PIKfyve modulator with an integrated stress response inhibitor improves mutant lysosomal hydrolase function in cellular models of additional lysosomal storage diseases.",15
"GSE268809","Caenorhabditis elegans","Non-coding RNA profiling by high throughput sequencing","Screening by deep sequencing reveals mediators of microRNA tailing in C. elegans","microRNAs are frequently modified by addition of untemplated nucleotides to the 3' end, but the role of this tailing is often unclear. Here we characterize the prevalence and functional consequences of microRNA tailing in vivo, using Caenorhabditis elegans. MicroRNA tailing in C. elegans consists mostly of mono-uridylation of mature microRNA species, with rarer mono-adenylation which is likely added to microRNA precursors. Through a targeted RNAi screen, we discover that the TUT4/TUT7 gene family member CID-1/CDE-1/PUP-1 is required for uridylation, whereas the GLD2 gene family member F31C3.2-here named GLD-2-related 2 (GLDR-2)-is required for adenylation. Thus, the TUT4/TUT7 and GLD2 gene families have broadly conserved roles in miRNA modification. We specifically examine the role of tailing in microRNA turnover. We determine half-lives of microRNAs after acute inactivation of microRNA biogenesis, revealing that half-lives are generally long (median = 20.7 h), as observed in other systems. Although we observe that the proportion of tailed species increases over time after biogenesis, disrupting tailing does not alter microRNA decay. Thus, tailing is not a global regulator of decay in C. elegans. Nonetheless, by identifying the responsible enzymes, this study lays the groundwork to explore whether tailing plays more specialized context- or miRNA-specific regulatory roles.",94
"GSE261336","Rhodococcus jostii","Expression profiling by high throughput sequencing","The catabolism of ethylene glycol by Rhodococcus jostii RHA1 and its dependence on mycofactocin","Ethylene glycol (EG) is a widely used industrial chemical with manifold applications and is also generated in the degradation of plastics such as PET. Rhodococcus jostii RHA1 (RHA1), a potential biocatalytic chassis, grows on EG. Transcriptomic analyses revealed four clusters of genes potentially involved in EG catabolism: the mad locus, predicted to encode mycofactocin-dependent alcohol degradation, including the catabolism of EG to glycolate; two GCL clusters, predicted to encode glycolate and glyoxylate catabolism; and the mft genes, predicted to specify mycofactocin biosynthesis. Bioinformatic analyses further revealed that the mad and mft genes are widely distributed in mycolic acid-producing bacteria such as RHA1. Neither ΔmadA nor ΔmftC RHA1 mutant strains grew on EG but grew on acetate. In resting cell assays, the ΔmadA mutant depleted glycolaldehyde but not EG from culture media. These results indicate that madA encodes a mycofactocin-dependent alcohol dehydrogenase that initiates EG catabolism. In contrast to some mycobacterial strains, the mad genes did not appear to enable RHA1 to grow on methanol as sole substrate. Finally, a strain of RHA1 adapted to grow ~3× faster on EG contained an overexpressed gene, aldA2, predicted to encode an aldehyde dehydrogenase. When incubated with EG, this strain accumulated lower concentrations of glycolaldehyde than RHA1. Moreover, ecotopically expressed aldA2 increased RHA1’s tolerance for EG further suggesting that glycolaldehyde accumulation limits growth of RHA1 on EG. Overall, this study provides insights into the bacterial catabolism of small alcohols and aldehydes and facilitates the engineering of Rhodococcus for the upgrading of plastic waste streams.",12
"GSE233561","Caenorhabditis elegans","Expression profiling by high throughput sequencing; Other","PUF partner interactions at a conserved interface shape the RNA binding landscape and cell fate","Protein-RNA regulatory networks underpin much of biology. C. elegans FBF-2, a PUF RNA-binding protein, binds over 1000 RNAs to govern stem cells and differentiation. FBF-2 interacts with multiple protein partners via a key tyrosine, Y479. Here we investigate the in vivo significance of partnerships using a Y479A mutant. Y479A occupancy increases or decreases at specific sites across the transcriptome, varying with the RNA, and shifts from 3’UTRs to other regions. Germline development also changes in a very specific fashion: Y479A abolishes one FBF-2 function – the sperm to oocyte cell fate switch. Y479A changes to regulation of one mRNA, gld-1, are critical to this fate change, though other network changes are also important. FBF-2 switches from repression to activation of gld-1 RNA, likely by distinct FBF-2 partnerships. The role of partnerships in governing RNA regulatory networks will extend broadly, including for human health and disease, as protein partnerships pervade RNA control. ",16
"GSE235107","Caenorhabditis elegans","Expression profiling by array","Expression data of  C. elegans JK1466 strain treated with tryptophan-derived betaxanthins","Effects of tryptophan derived-betaxanthins in C. elegans  Jk1466 strain gene expression is studied. Microarrays were used to detail the global programme of gene expression underlying the lifespan extension and identified distinct classes of up/down-regulated genes in animal treated with tryptophan-derived betaxanthins",12
"GSE228406","Mus musculus","Expression profiling by high throughput sequencing","Gastruloid-derived Primordial Germ Cell-like Cells (Gld-PGCLCs) develop dynamically within integrated tissues","Primordial Germ Cells (PGCs) are a rare population of cells specified early in embryonic development that give rise to gametes - sperm and egg cells. Current in vitro systems to derive PGC-like cells (PGCLCs) from pluripotent cells use large embryoid bodies, exposed to signalling cocktails, that do not recapitulate the native embryonic environment during PGC formation. Here we show that mouse gastruloids, three-dimensional in vitro models of gastrulation, generate a population of Gastruloid-derived PGC-like cells (Gld-PGCLCs) that resemble early PGCs in vivo. Importantly, the conserved organisation of mouse gastruloids leads to coordinated spatial and temporal localisation of Gld-PGCLCs relative to surrounding somatic cells, even in the absence of exogenous PGC-specific signalling or extraembryonic tissues. In gastruloids, self-organised interactions between cells and tissues, including the endodermal epithelium, enables the specification, migration, and subsequent maturation of a pool of Gld-PGCLCs. As such, mouse gastruloids represent a new source of PGCLCs in vitro and, due to their inherent co-development, serve as a novel model of dynamic PGC development within integrated tissue environments.",12
"GSE238214","Mus musculus","Expression profiling by array","Transcriptional characterization of primary tumors and liver metastasis from 4T1-derived liver-metastatic cells","Metabolic rewiring is essential for breast tumor growth and progression to metastatic disease, yet little is known regarding how cancer cells modify their acquired metabolic programs in response to different metastatic microenvironments. Transcriptional and metabolomic analysis have previously shown that liver-metastatic breast cancer cells adopt an intrinsic metabolic profile characterized by increased HIF-1α activity and dependence on glycolysis. Stable isotope tracing analysis (SITA) performed in vivo confirmed that the glycolytic nature of liver-metastatic breast cancer cells is retained when these cells are grown as primary tumors or as liver metastases. However, our data also reveal that unique metabolic adaptations are specifically induced by the liver microenvironment. Indeed, liver metastases display elevated expression of genes involved in glutathione (GSH) biosynthesis and reactive oxygen species (ROS) detoxification when compared to primary tumors. Moreover, breast cancer liver metastases rely strongly on glucose and glutamine-derived carbons to support de novo GSH synthesis. Glutathione is a tripeptide that acts as a major scavenger for reactive oxygen species (ROS). Liver metastases display reduced levels of 8-Oxo-2'-deoxyguanosine, confirming their increased capacity to buffer ROS. We demonstrated the dependence of liver metastases formation on these distinct metabolic adaptations by depleting glutamate-cysteine ligase (Gcl), the rate-limiting enzyme in glutathione biosynthesis. Gcl depletion, and decreased GSH levels, strongly reduced the capacity of liver-metastatic cells to form distant metastasis within the liver. We performed gene expression analysis of liver metastasis and primary tumors from liver-metastatic breast cancer cells derived from 4T1 cells. 4T1-2776 (76) and 4T1-2792 (92) cells were injected in the mammary fat pads of BALB/c and grown as primary tumors or were grown as liver metastasis after splenic injection. Tissues were harvested from primary tumors and liver metastasis and submitted to laser-capture microdissection (LCM). For liver metastasis, tumour tissue was harvested at 10 days, 2 weeks and 3 weeks after splenic injection. For each time point, tissue was isolated from the tumor centre (core), a peripheral area of the tumor (margin), a region of the liver proximal to the tumor (adjacent) and a region of the liver far from the tumor (distant). For primary tumors from 4T1-2776 cells (1034, 1036, 1043) and 4T1-2792 (MFP2L, MFP3L, MFP5L) tissue was collected from the tumor core and margin, at the experimental endpoint.",64
"GSE233320","Mus musculus","Expression profiling by high throughput sequencing","Gene expression profile at single cell level of CD45+ cells isolated from twitcher (twi) mouse brain (postnatal day 21)","Gene expression profile at single cell level of CD45+ cells isolated from wildtype (twi littermate) mouse brain (postnatal day 21) to evaluate and compare differences in immune cells at the onset of spontaneous clinical disease in a mouse model of globoid cell leukodystrophy.",2
"GSE202929","Mus musculus","Expression profiling by high throughput sequencing","Gene expression of brain cells from wild type and Gba flox/flox; Nestin-Cre mice","To investigate neuronopathic Gaucher disease brain cell gene expression, we established Gba flox/flox; Nestin-Cre mice and performed scRNA sequencing of whole brain cells from these and wild type mice. Unbiased clustering analysis revealed that most remarkable change between wild type and Gba flox/flox; Nestin-Cre mice was the appearance of an activated microglia cluster, which exclusively expressed Tnf. Our further study elucidated the mechanism by which activated microglia and TNF contribute to Gaucher disease pathology.",2
"GSE202711","Mus musculus","Expression profiling by high throughput sequencing","Gene expression of microglia from wild type, Gba flox/flox; Nestin-Cre, and Gba flox/flox; Nestin-Cre; Mincle-/- mice","To investigate the contribution of Mincle in neuronopathic Gaucher disease, we established Gba flox/flox; Nestin-Cre mice and crossed them with Mincle deficient mice. RNA sequencing of microglia from these mice revealed Axl, a phaogocytic receptor was upregulated in Gba flox/flox; Nestin-Cre mice. In addition, Tnf was upregulated in Gba flox/flox; Nestin-Cre mice in a Mincle-dependent manner. Our further study elucidated that Mincle, Axl and TNF are involved in the pathology of Gaucher disease.",9
"GSE118511","Homo sapiens","Expression profiling by high throughput sequencing","GBA1 regulates the CLEAR network through Calcineurin and TFEB in cellular models of Parkinson´s disease","The GBA1 gene encodes the lysosomal enzyme acid-β-glucocerebrosidase (GCase). GBA1 mutations cause the lysosomal storage disorder Gaucher disease (GD) and are a genetic risk factor for Parkinson´s disease (PD). Many GBA1 mutations cause aberrant GCase folding and processing but how these impinge on PD pathogenesis remains unclear. We addressed GCase functions in human dopaminergic (DA) neurons derived from engineered GBA1-deficient (GBA1-/-) embryonic stem cells (hESCs) and GBA1N370S PD patient-derived induced pluripotent cells (hiPSCs). GBA1-mutant DA neurons displayed aberrant morphologies and gene expression that were rescued by recombinant GCase treatment. GBA1-/- neurons have hyperactive Calcineurin (CaN) and nuclear localization of the Transcription Factor EB (TFEB). Expression of TFEB targets and lysosomal CLEAR network components were increased in GBA1-/- DA neurons and rescued by GCase replacement and CaN inhibition. Our findings reveal a link between increased CaN activity and loss of GCase, providing a mechanism for the disturbed lysosomal/autophagy pathways in GBA1-associated PD.",12
"GSE173657","Caenorhabditis elegans","Expression profiling by high throughput sequencing","Alternative somatic and germline gene-regulatory strategies during starvation-induced developmental arrest","This SuperSeries is composed of the SubSeries listed below.",96
"GSE173655","Caenorhabditis elegans","Expression profiling by high throughput sequencing","mRNA-seq analysis of Caenorhabditis elegans starved L1 larvae with and without AMA-1/Pol II degradation in the soma and germ line during L1 arrest","Whole starved L1 larvae were collected with and without AMA-1 degradation by the auxin-inducible degron (AID) system in the soma and germ line between 36 and 132 hours of starvation along with controls.",48
"GSE208650","Homo sapiens; Mus musculus","Expression profiling by high throughput sequencing","Light-Seq: Light-directed in situ barcoding of biomolecules in fixed cells and tissues for spatially indexed sequencing","We present a new approach, Light-Seq, for multiplexed spatial indexing of intact biological samples using light-directed DNA barcoding in fixed cells and tissues followed by ex situ sequencing. Light-Seq combines spatially-targeted, rapid photocrosslinking of DNA barcodes onto cDNAs in situ with a novel one-step DNA stitching reaction to create pooled, spatially-indexed sequencing libraries. This light-directed barcoding enables in situ selection of multiple cell populations in intact fixed tissue samples for full transcriptome sequencing based on location, morphology, or protein stains, without cellular dissociation. Applying Light-Seq to mouse retinal sections, we recovered thousands of differentially enriched transcripts from three adjacent cellular layers and discovered new biomarkers for a very rare neuronal subtype, dopaminergic amacrine cells, from only 4-8 individual cells per section. Light-Seq provides an accessible workflow to combine in situ imaging and protein staining with next-generation sequencing of the same cells, leaving the sample intact sample for further analysis post-sequencing.",14
"GSE212512","Homo sapiens","Expression profiling by high throughput sequencing","Identifying Altered Developmental Pathways in Induced Pluripotent Stem Cell-Derived Neural Stem Cells From a Patients with Globoid Cell Leukodystrophy Using Transcriptome Profiling","we identified gene-expression changes in induced pluripotent stem cells (iPSCs) and iPSC-derived neural stem cells (NSCs) from a patients with GLD (K-iPSCs/NSCs) and normal control (AF-iPSCs/NSCs), in order to investigate the potential mechanism underlying GLD pathogenesis. We identified 194 (K-iPSCs vs. AF-iPSCs) and 702 (K-NSCs vs. AF-NSCs) significantly dysregulated mRNAs when comparing the indicated groups. We also identified dozens of Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway terms that were enriched for the differentially expressed genes.",12
"GSE183484","Homo sapiens","Expression profiling by array","C5a Activates a Pro-Inflammatory Gene Expression Profile in Human Gaucher iPSC-Derived Macrophages","Gaucher disease (GD) is an autosomal recessive disorder caused by bi-allelic GBA1 mutations that reduce the activity of the lysosomal enzyme β-glucocerebrosidase (GCase). In the immune system, GCase deficiency deregulates signal transduction events, resulting in an inflammatory environment. It is known that the complement system promotes inflammation, and complement inhibitors are currently being considered as a novel therapy for GD; however, the mechanism by which complement drives ystemic macrophage-mediated inflammation remains incompletely understood. To help understand the mechanisms involved, we performed gene array analysis on rC5a-treated human control and GD-induced pluripotent stem cell (iPSC)-derived macrophages.",8
"GSE233320","Mus musculus","Expression profiling by high throughput sequencing","Gene expression profile at single cell level of CD45+ cells isolated from twitcher (twi) mouse brain (postnatal day 21)","Gene expression profile at single cell level of CD45+ cells isolated from wildtype (twi littermate) mouse brain (postnatal day 21) to evaluate and compare differences in immune cells at the onset of spontaneous clinical disease in a mouse model of globoid cell leukodystrophy.",2
